
Processing FastME.C...
Dt: 0	SigDr: 1.66343	BkgDr: 1.98674	Psb: 0.544287
Dt: 1	SigDr: 10.6615	BkgDr: 3.00142	Psb: 0.219676
Dt: 2	SigDr: 1.66372	BkgDr: 1.13444	Psb: 0.405424
Dt: 3	SigDr: 1.28144	BkgDr: 0.920656	Psb: 0.418082
Dt: 4	SigDr: 1.3626	BkgDr: 1.01901	Psb: 0.427866
Dt: 5	SigDr: 1.25369	BkgDr: 1.20706	Psb: 0.490524
Dt: 6	SigDr: 1.51599	BkgDr: 0.754573	Psb: 0.332328
Dt: 7	SigDr: 0.939282	BkgDr: 1.47548	Psb: 0.611024
Dt: 8	SigDr: 1.16512	BkgDr: 1.0399	Psb: 0.471605
Dt: 9	SigDr: 1.02658	BkgDr: 1.03675	Psb: 0.502464
Dt: 10	SigDr: 1.2707	BkgDr: 0.456033	Psb: 0.264102
Dt: 11	SigDr: 1.5218	BkgDr: 0.911371	Psb: 0.37456
Dt: 12	SigDr: 0.967038	BkgDr: 0.638329	Psb: 0.397622
Dt: 13	SigDr: 6.11037	BkgDr: 1.06963	Psb: 0.148974
Dt: 14	SigDr: 0.629974	BkgDr: 0.525553	Psb: 0.454817
Dt: 15	SigDr: 6.66057	BkgDr: 2.54319	Psb: 0.276321
Dt: 16	SigDr: 1.67337	BkgDr: 1.11301	Psb: 0.399447
Dt: 17	SigDr: 1.07288	BkgDr: 0.949305	Psb: 0.469446
Dt: 18	SigDr: 0.62576	BkgDr: 0.733594	Psb: 0.539664
Dt: 19	SigDr: 1.39888	BkgDr: 1.26833	Psb: 0.475528
Dt: 20	SigDr: 1.91433	BkgDr: 0.859485	Psb: 0.309856
Dt: 21	SigDr: 0.834598	BkgDr: 0.826537	Psb: 0.497574
Dt: 22	SigDr: 1.55048	BkgDr: 1.63429	Psb: 0.513159
Dt: 23	SigDr: 1.86875	BkgDr: 1.69805	Psb: 0.47607
Dt: 24	SigDr: 4.09901	BkgDr: 0.882367	Psb: 0.177133
Dt: 25	SigDr: 1.5698	BkgDr: 1.07508	Psb: 0.406475
Dt: 26	SigDr: 7.07205	BkgDr: 2.12829	Psb: 0.231327
Dt: 27	SigDr: 3.40714	BkgDr: 1.36476	Psb: 0.286
Dt: 28	SigDr: 2.30872	BkgDr: 1.02701	Psb: 0.307881
Dt: 29	SigDr: 2.55409	BkgDr: 1.29234	Psb: 0.335985
Dt: 30	SigDr: 0.869291	BkgDr: 0.89354	Psb: 0.506878
Dt: 31	SigDr: 3.12301	BkgDr: 0.98166	Psb: 0.239157
Dt: 32	SigDr: 0.579962	BkgDr: 0.736236	Psb: 0.559366
Dt: 33	SigDr: 0.651006	BkgDr: 0.569252	Psb: 0.466501
Dt: 34	SigDr: 0.658034	BkgDr: 0.563294	Psb: 0.461214
Dt: 35	SigDr: 1.79416	BkgDr: 0.844022	Psb: 0.319925
Dt: 36	SigDr: 0.692747	BkgDr: 0.745311	Psb: 0.518276
Dt: 37	SigDr: 0.829053	BkgDr: 0.612507	Psb: 0.424892
Dt: 38	SigDr: 1.24316	BkgDr: 0.754316	Psb: 0.377635
Dt: 39	SigDr: 2.39211	BkgDr: 2.81902	Psb: 0.540961
Dt: 40	SigDr: 1.35669	BkgDr: 1.20211	Psb: 0.469794
Dt: 41	SigDr: 1.01069	BkgDr: 0.768317	Psb: 0.431881
Dt: 42	SigDr: 0.844451	BkgDr: 0.797408	Psb: 0.485674
Dt: 43	SigDr: 2.412	BkgDr: 1.58433	Psb: 0.396447
Dt: 44	SigDr: 0.879298	BkgDr: 0.789732	Psb: 0.473168
Dt: 45	SigDr: 5.88569	BkgDr: 1.95558	Psb: 0.249396
Dt: 46	SigDr: 1.05668	BkgDr: 0.84666	Psb: 0.444829
Dt: 47	SigDr: 1.46044	BkgDr: 0.694895	Psb: 0.322407
Dt: 48	SigDr: 7.93591	BkgDr: 3.46817	Psb: 0.304117
Dt: 49	SigDr: 3.26706	BkgDr: 1.9881	Psb: 0.378313
Dt: 50	SigDr: 1.97166	BkgDr: 0.910987	Psb: 0.316025
Dt: 51	SigDr: 1.29115	BkgDr: 1.1081	Psb: 0.461853
Dt: 52	SigDr: 0.57201	BkgDr: 0.798995	Psb: 0.582781
Dt: 53	SigDr: 0.775214	BkgDr: 1.05623	Psb: 0.576719
Dt: 54	SigDr: 3.92063	BkgDr: 1.23747	Psb: 0.239908
Dt: 55	SigDr: 3.98465	BkgDr: 1.55319	Psb: 0.280468
Dt: 56	SigDr: 1.84973	BkgDr: 1.3313	Psb: 0.418513
Dt: 57	SigDr: 6.3184	BkgDr: 1.74854	Psb: 0.216754
Dt: 58	SigDr: 0.854719	BkgDr: 0.793514	Psb: 0.481433
Dt: 59	SigDr: 1.01118	BkgDr: 0.601795	Psb: 0.373095
Dt: 60	SigDr: 2.119	BkgDr: 1.86869	Psb: 0.468615
Dt: 61	SigDr: 1.40664	BkgDr: 1.08269	Psb: 0.434932
Dt: 62	SigDr: 0.692668	BkgDr: 0.76884	Psb: 0.526059
Dt: 63	SigDr: 2.22858	BkgDr: 1.05127	Psb: 0.320524
Dt: 64	SigDr: 2.28128	BkgDr: 0.917368	Psb: 0.286798
Dt: 65	SigDr: 2.47051	BkgDr: 1.69822	Psb: 0.40737
Dt: 66	SigDr: 1.17871	BkgDr: 1.29748	Psb: 0.523984
Dt: 67	SigDr: 1.11939	BkgDr: 1.01183	Psb: 0.474765
Dt: 68	SigDr: 14.678	BkgDr: 2.35859	Psb: 0.138443
Dt: 69	SigDr: 1.00344	BkgDr: 1.0885	Psb: 0.52033
Dt: 70	SigDr: 2.57876	BkgDr: 2.29315	Psb: 0.470688
Dt: 71	SigDr: 0.689016	BkgDr: 0.627148	Psb: 0.476497
Dt: 72	SigDr: 0.92005	BkgDr: 0.789214	Psb: 0.461728
Dt: 73	SigDr: 1.8142	BkgDr: 1.2393	Psb: 0.405863
Dt: 74	SigDr: 2.24452	BkgDr: 1.73538	Psb: 0.436036
Dt: 75	SigDr: 3.63035	BkgDr: 1.56672	Psb: 0.301462
Dt: 76	SigDr: 0.604506	BkgDr: 0.611935	Psb: 0.503054
Dt: 77	SigDr: 4.31966	BkgDr: 1.87369	Psb: 0.302533
Dt: 78	SigDr: 0.604603	BkgDr: 0.718669	Psb: 0.5431
Dt: 79	SigDr: 1.31267	BkgDr: 0.851665	Psb: 0.3935
Dt: 80	SigDr: 0.69355	BkgDr: 0.66325	Psb: 0.488834
Dt: 81	SigDr: 2.172	BkgDr: 0.87191	Psb: 0.286444
Dt: 82	SigDr: 3.25975	BkgDr: 2.12989	Psb: 0.395182
Dt: 83	SigDr: 0.777126	BkgDr: 0.739023	Psb: 0.487434
Dt: 84	SigDr: 0.862651	BkgDr: 0.86857	Psb: 0.501709
Dt: 85	SigDr: 0.608007	BkgDr: 0.685129	Psb: 0.52982
Dt: 86	SigDr: 1.82187	BkgDr: 1.23819	Psb: 0.40463
Dt: 87	SigDr: 3.04038	BkgDr: 1.52057	Psb: 0.333388
Dt: 88	SigDr: 1.05526	BkgDr: 1.03396	Psb: 0.494902
Dt: 89	SigDr: 0.670553	BkgDr: 0.506151	Psb: 0.430143
Dt: 90	SigDr: 16.846	BkgDr: 3.47756	Psb: 0.17111
Dt: 91	SigDr: 1.11247	BkgDr: 0.678588	Psb: 0.378875
Dt: 92	SigDr: 0.780768	BkgDr: 0.759795	Psb: 0.493193
Dt: 93	SigDr: 0.74124	BkgDr: 0.729424	Psb: 0.495983
Dt: 94	SigDr: 1.07604	BkgDr: 1.10127	Psb: 0.505793
Dt: 95	SigDr: 1.29944	BkgDr: 0.95288	Psb: 0.423065
Dt: 96	SigDr: 6.81224	BkgDr: 2.26204	Psb: 0.24928
Dt: 97	SigDr: 0.930728	BkgDr: 0.980475	Psb: 0.513014
Dt: 98	SigDr: 0.990574	BkgDr: 0.514608	Psb: 0.341891
Dt: 99	SigDr: 0.875003	BkgDr: 0.735855	Psb: 0.456809
